merge_length,count,entropy
300,4,9.2639674751991
303,17,9.696389025393136
305,2,8.447971664564257
306,55,11.187117914961874
320,1,8.232628076448064
321,1,8.17935021172585
323,13,9.230783652943872
324,386,10.193985901828393
325,1,8.294620748891626
